timeNow = 2023-04-09 12:15:17.795599, len(dataFromDaq) = 3278, R->W thresh = 1.0, self.currentCh2Intensity = 0
timeNow = 2023-04-09 12:15:42.351599, len(dataFromDaq) = 3152, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.358599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.364599, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.371601, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.389602, len(dataFromDaq) = 3128, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.396603, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.403603, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.409599, len(dataFromDaq) = 3135, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.425604, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.431601, len(dataFromDaq) = 3118, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.437600, len(dataFromDaq) = 3136, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.442600, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.462599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.469599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.475599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.482599, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.499598, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.505600, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.511599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.517599, len(dataFromDaq) = 3160, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.533599, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.539599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.544599, len(dataFromDaq) = 3043, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.550599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.565599, len(dataFromDaq) = 3171, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.572599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.578599, len(dataFromDaq) = 3081, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.584599, len(dataFromDaq) = 3068, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.602599, len(dataFromDaq) = 3055, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.608599, len(dataFromDaq) = 3037, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.614599, len(dataFromDaq) = 3049, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.620599, len(dataFromDaq) = 3025, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.639599, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.647599, len(dataFromDaq) = 3172, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.654599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.661599, len(dataFromDaq) = 3168, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.680599, len(dataFromDaq) = 3164, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.688601, len(dataFromDaq) = 3170, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.694599, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.700599, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.716599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.723601, len(dataFromDaq) = 3147, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.729601, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.736600, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.753599, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.760598, len(dataFromDaq) = 3169, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.767599, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.774599, len(dataFromDaq) = 3147, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.793599, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.799599, len(dataFromDaq) = 3159, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.805599, len(dataFromDaq) = 3169, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.811599, len(dataFromDaq) = 3082, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.826599, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.832599, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.837599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.842599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.858599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.866598, len(dataFromDaq) = 3129, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.872599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.878599, len(dataFromDaq) = 3150, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.897600, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.904599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.910599, len(dataFromDaq) = 3158, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.916603, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.933599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.939599, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.944599, len(dataFromDaq) = 3136, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.949599, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.965599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.971599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.976599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.982599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:42.998598, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.004599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.010599, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.015599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.031599, len(dataFromDaq) = 3155, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.037599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.043599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.048599, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.064599, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.071600, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.078600, len(dataFromDaq) = 3040, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.084599, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.104599, len(dataFromDaq) = 3174, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.111605, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.116599, len(dataFromDaq) = 3054, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.122599, len(dataFromDaq) = 3069, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.138599, len(dataFromDaq) = 3061, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.145599, len(dataFromDaq) = 3054, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.151600, len(dataFromDaq) = 3052, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.156599, len(dataFromDaq) = 3043, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.172599, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.178599, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.183601, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.188599, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.206599, len(dataFromDaq) = 3119, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.215600, len(dataFromDaq) = 3166, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.222599, len(dataFromDaq) = 3147, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.228599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.246599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.252599, len(dataFromDaq) = 3126, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.257599, len(dataFromDaq) = 3162, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.263600, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.281599, len(dataFromDaq) = 3136, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.288599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.293599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.299599, len(dataFromDaq) = 3153, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.320599, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.326599, len(dataFromDaq) = 3163, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.331599, len(dataFromDaq) = 3147, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.336599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.354599, len(dataFromDaq) = 3173, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.360599, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.367599, len(dataFromDaq) = 3119, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.373601, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.391600, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.397599, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.403599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.409600, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.427599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.434599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.440600, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.446600, len(dataFromDaq) = 3127, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.462599, len(dataFromDaq) = 3119, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.469600, len(dataFromDaq) = 3144, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.475599, len(dataFromDaq) = 3147, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.480598, len(dataFromDaq) = 3150, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.498599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.505599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.511599, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.518598, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.537599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.543599, len(dataFromDaq) = 3153, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.549600, len(dataFromDaq) = 3122, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.554599, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.572599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.579600, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.585599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.592600, len(dataFromDaq) = 3119, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.609599, len(dataFromDaq) = 3119, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.616599, len(dataFromDaq) = 3141, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.623599, len(dataFromDaq) = 3032, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.628599, len(dataFromDaq) = 3117, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.645599, len(dataFromDaq) = 3162, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.651599, len(dataFromDaq) = 3084, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.657599, len(dataFromDaq) = 3085, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.663599, len(dataFromDaq) = 3041, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.679600, len(dataFromDaq) = 3079, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.684599, len(dataFromDaq) = 3047, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.690601, len(dataFromDaq) = 3040, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.697599, len(dataFromDaq) = 3011, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.714599, len(dataFromDaq) = 3120, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.721599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.728599, len(dataFromDaq) = 3152, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.734599, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.751600, len(dataFromDaq) = 3157, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.758599, len(dataFromDaq) = 3162, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.763599, len(dataFromDaq) = 3154, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.769599, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.785598, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.791598, len(dataFromDaq) = 3143, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.797599, len(dataFromDaq) = 3111, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.803599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.819598, len(dataFromDaq) = 3151, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.826599, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.831599, len(dataFromDaq) = 3113, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.837599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.852598, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.858599, len(dataFromDaq) = 3133, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.864599, len(dataFromDaq) = 3153, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.869599, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.885599, len(dataFromDaq) = 3138, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.892599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.899599, len(dataFromDaq) = 3146, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.905599, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.922599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.928599, len(dataFromDaq) = 3155, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.934598, len(dataFromDaq) = 3121, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.939599, len(dataFromDaq) = 3115, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.955599, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.962602, len(dataFromDaq) = 3139, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.968604, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.975603, len(dataFromDaq) = 3127, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.993599, len(dataFromDaq) = 3149, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:43.999600, len(dataFromDaq) = 3118, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.006604, len(dataFromDaq) = 3131, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.012599, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.028599, len(dataFromDaq) = 3125, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.036599, len(dataFromDaq) = 3128, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.042606, len(dataFromDaq) = 3148, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.048599, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.063599, len(dataFromDaq) = 3137, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.070600, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.077604, len(dataFromDaq) = 3123, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.085598, len(dataFromDaq) = 3140, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.106604, len(dataFromDaq) = 3145, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.112599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.118599, len(dataFromDaq) = 3134, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.123599, len(dataFromDaq) = 3124, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.139600, len(dataFromDaq) = 3130, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.146599, len(dataFromDaq) = 3142, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.152599, len(dataFromDaq) = 3132, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.157599, len(dataFromDaq) = 3253, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.172599, len(dataFromDaq) = 3301, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.179601, len(dataFromDaq) = 3184, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.185604, len(dataFromDaq) = 3212, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.191599, len(dataFromDaq) = 3182, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.213600, len(dataFromDaq) = 3198, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.220599, len(dataFromDaq) = 3194, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
timeNow = 2023-04-09 12:15:44.226599, len(dataFromDaq) = 3160, R->W thresh = 1.0, self.currentCh2Intensity = 0.0
